#version: TeamCity
#If you change this file, it will not be automatically updated after the next release.
#item,id,metadata
stone,stone,0
sstone,stone,0
smoothstone,stone,0
rock,stone,0
granite,stone,1
gstone,stone,1
polishedgranite,stone,2
pgranite,stone,2
pgstone,stone,2
polishedgstone,stone,2
diorite,stone,3
dstone,stone,3
polisheddiorite,stone,4
pdiorite,stone,4
pdstone,stone,4
polisheddstone,stone,4
andesite,stone,5
astone,stone,5
polishedandesite,stone,6
pandesite,stone,6
pastone,stone,6
grass,grass,0
greendirt,grass,0
greenearth,grass,0
greenland,grass,0
dirt,dirt,0
earth,dirt,0
land,dirt,0
cdirt,dirt,1
grasslessdirt,dirt,1
grasslessearth,dirt,1
grasslessland,dirt,1
coarsedirt,dirt,1
coarseland,dirt,1
coarseearth,dirt,1
podzol,dirt,2
cobblestone,cobblestone,0
cstone,cobblestone,0
cobble,cobblestone,0
wood,wood,0
plank,wood,0
woodenplank,wood,0
woodplank,wood,0
wplank,wood,0
plankwooden,wood,0
plankwood,wood,0
plankw,wood,0
oakplank,wood,0
oakwoodenplank,wood,0
oakwoodplank,wood,0
oakwplank,wood,0
oakplankwooden,wood,0
oakplankwood,wood,0
oakplankw,wood,0
oplank,wood,0
owoodenplank,wood,0
owoodplank,wood,0
owplank,wood,0
oplankwooden,wood,0
oplankwood,wood,0
oplankw,wood,0
pineplank,wood,1
pinewoodenplank,wood,1
pinewoodplank,wood,1
pinewplank,wood,1
pineplankwooden,wood,1
pineplankwood,wood,1
pineplankw,wood,1
pplank,wood,1
pwoodenplank,wood,1
pwoodplank,wood,1
pwplank,wood,1
pplankwooden,wood,1
pplankwood,wood,1
pplankw,wood,1
darkplank,wood,1
darkwoodenplank,wood,1
darkwoodplank,wood,1
darkwplank,wood,1
darkplankwooden,wood,1
darkplankwood,wood,1
darkplankw,wood,1
dplank,wood,1
dwoodenplank,wood,1
dwoodplank,wood,1
dwplank,wood,1
dplankwooden,wood,1
dplankwood,wood,1
dplankw,wood,1
spruceplank,wood,1
sprucewoodenplank,wood,1
sprucewoodplank,wood,1
sprucewplank,wood,1
spruceplankwooden,wood,1
spruceplankwood,wood,1
spruceplankw,wood,1
splank,wood,1
swoodenplank,wood,1
swoodplank,wood,1
swplank,wood,1
splankwooden,wood,1
splankwood,wood,1
splankw,wood,1
birchplank,wood,2
birchwoodenplank,wood,2
birchwoodplank,wood,2
birchwplank,wood,2
birchplankwooden,wood,2
birchplankwood,wood,2
birchplankw,wood,2
bplank,wood,2
bwoodenplank,wood,2
bwoodplank,wood,2
bwplank,wood,2
bplankwooden,wood,2
bplankwood,wood,2
bplankw,wood,2
lightplank,wood,2
lightwoodenplank,wood,2
lightwoodplank,wood,2
lightwplank,wood,2
lightplankwooden,wood,2
lightplankwood,wood,2
lightplankw,wood,2
lplank,wood,2
lwoodenplank,wood,2
lwoodplank,wood,2
lwplank,wood,2
lplankwooden,wood,2
lplankwood,wood,2
lplankw,wood,2
whiteplank,wood,2
whitewoodenplank,wood,2
whitewoodplank,wood,2
whitewplank,wood,2
whiteplankwooden,wood,2
whiteplankwood,wood,2
whiteplankw,wood,2
wwoodenplank,wood,2
wwoodplank,wood,2
wwplank,wood,2
wplankwooden,wood,2
wplankwood,wood,2
wplankw,wood,2
jungleplank,wood,3
junglewoodenplank,wood,3
junglewoodplank,wood,3
junglewplank,wood,3
jungleplankwooden,wood,3
jungleplankwood,wood,3
jungleplankw,wood,3
jplank,wood,3
jwoodenplank,wood,3
jwoodplank,wood,3
jwplank,wood,3
jplankwooden,wood,3
jplankwood,wood,3
jplankw,wood,3
forestplank,wood,3
forestwoodenplank,wood,3
forestwoodplank,wood,3
forestwplank,wood,3
forestplankwooden,wood,3
forestplankwood,wood,3
forestplankw,wood,3
fplank,wood,3
fwoodenplank,wood,3
fwoodplank,wood,3
fwplank,wood,3
fplankwooden,wood,3
fplankwood,wood,3
fplankw,wood,3
acaciaplank,wood,4
acaciawoodenplank,wood,4
acaciawoodplank,wood,4
acaciawplank,wood,4
acaciaplankwooden,wood,4
acaciaplankwood,wood,4
acaciaplankw,wood,4
aplank,wood,4
awoodenplank,wood,4
awoodplank,wood,4
awplank,wood,4
aplankwooden,wood,4
aplankwood,wood,4
aplankw,wood,4
darkoakplank,wood,5
darkoakwoodenplank,wood,5
darkoakwoodplank,wood,5
darkoakwplank,wood,5
darkoakplankwooden,wood,5
darkoakplankwood,wood,5
darkoakplankw,wood,5
doakplank,wood,5
doakwoodenplank,wood,5
doakwoodplank,wood,5
doakwplank,wood,5
doakplankwooden,wood,5
doakplankwood,wood,5
doakplankw,wood,5
doplank,wood,5
dowoodenplank,wood,5
dowoodplank,wood,5
dowplank,wood,5
doplankwooden,wood,5
doplankwood,wood,5
doplankw,wood,5
sapling,sapling,0
treesapling,sapling,0
logsapling,sapling,0
trunksapling,sapling,0
woodsapling,sapling,0
oaktreesapling,sapling,0
oaklogsapling,sapling,0
oaktrunksapling,sapling,0
oakwoodsapling,sapling,0
osapling,sapling,0
otreesapling,sapling,0
ologsapling,sapling,0
otrunksapling,sapling,0
owoodsapling,sapling,0
darksapling,sapling,1
darktreesapling,sapling,1
darklogsapling,sapling,1
darktrunksapling,sapling,1
darkwoodsapling,sapling,1
sprucesapling,sapling,1
sprucetreesapling,sapling,1
sprucelogsapling,sapling,1
sprucetrunksapling,sapling,1
sprucewoodsapling,sapling,1
pinesapling,sapling,1
pinetreesapling,sapling,1
pinelogsapling,sapling,1
pinetrunksapling,sapling,1
pinewoodsapling,sapling,1
dsapling,sapling,1
dtreesapling,sapling,1
dlogsapling,sapling,1
dtrunksapling,sapling,1
dwoodsapling,sapling,1
ssapling,sapling,1
streesapling,sapling,1
slogsapling,sapling,1
strunksapling,sapling,1
swoodsapling,sapling,1
psapling,sapling,1
ptreesapling,sapling,1
plogsapling,sapling,1
ptrunksapling,sapling,1
pwoodsapling,sapling,1
birchsapling,sapling,2
birchtreesapling,sapling,2
birchlogsapling,sapling,2
birchtrunksapling,sapling,2
birchwoodsapling,sapling,2
lightsapling,sapling,2
lighttreesapling,sapling,2
lightlogsapling,sapling,2
lighttrunksapling,sapling,2
lightwoodsapling,sapling,2
whitesapling,sapling,2
whitetreesapling,sapling,2
whitelogsapling,sapling,2
whitetrunksapling,sapling,2
whitewoodsapling,sapling,2
bsapling,sapling,2
btreesapling,sapling,2
blogsapling,sapling,2
btrunksapling,sapling,2
bwoodsapling,sapling,2
lsapling,sapling,2
ltreesapling,sapling,2
llogsapling,sapling,2
ltrunksapling,sapling,2
lwoodsapling,sapling,2
wsapling,sapling,2
wtreesapling,sapling,2
wlogsapling,sapling,2
wtrunksapling,sapling,2
wwoodsapling,sapling,2
junglesapling,sapling,3
jungletreesapling,sapling,3
junglelogsapling,sapling,3
jungletrunksapling,sapling,3
junglewoodsapling,sapling,3
forestsapling,sapling,3
foresttreesapling,sapling,3
forestlogsapling,sapling,3
foresttrunksapling,sapling,3
forestwoodsapling,sapling,3
jsapling,sapling,3
jtreesapling,sapling,3
jlogsapling,sapling,3
jtrunksapling,sapling,3
jwoodsapling,sapling,3
fsapling,sapling,3
ftreesapling,sapling,3
flogsapling,sapling,3
ftrunksapling,sapling,3
fwoodsapling,sapling,3
acaciasapling,sapling,4
acaciatreesapling,sapling,4
acacialogsapling,sapling,4
acaciatrunksapling,sapling,4
acaciawoodsapling,sapling,4
asapling,sapling,4
atreesapling,sapling,4
alogsapling,sapling,4
atrunksapling,sapling,4
awoodsapling,sapling,4
darkoaksapling,sapling,5
darkoaktreesapling,sapling,5
darkoaklogsapling,sapling,5
darkoaktrunksapling,sapling,5
darkoakwoodsapling,sapling,5
doaksapling,sapling,5
doaktreesapling,sapling,5
doaklogsapling,sapling,5
doaktrunksapling,sapling,5
dosapling,sapling,5
dowoodsapling,sapling,5
dotreesapling,sapling,5
dologsapling,sapling,5
dotrunksapling,sapling,5
bedrock,bedrock,0
oprock,bedrock,0
opblock,bedrock,0
adminblock,bedrock,0
adminrock,bedrock,0
adminium,bedrock,0
water,water,0
stationarywater,stationary_water,0
stillwater,stationary_water,0
swater,stationary_water,0
lava,lava,0
stationarylava,stationary_lava,0
stilllava,stationary_lava,0
slava,stationary_lava,0
sand,sand,0
redsand,sand,1
rsand,sand,1
gravel,gravel,0
goldore,gold_ore,0
oregold,gold_ore,0
gore,gold_ore,0
oreg,gold_ore,0
ogold,gold_ore,0
goldo,gold_ore,0
ironore,iron_ore,0
oreiron,iron_ore,0
irono,iron_ore,0
oiron,iron_ore,0
steelore,iron_ore,0
oresteel,iron_ore,0
steelo,iron_ore,0
osteel,iron_ore,0
iore,iron_ore,0
orei,iron_ore,0
sore,iron_ore,0
ores,iron_ore,0
coalore,coal_ore,0
orecoal,coal_ore,0
coalo,coal_ore,0
ocoal,coal_ore,0
core,coal_ore,0
tree,log,0
log,log,0
trunk,log,0
oak,log,0
oaktree,log,0
oaklog,log,0
oaktrunk,log,0
oakwood,log,0
otree,log,0
olog,log,0
otrunk,log,0
owood,log,0
pine,log,1
pinetree,log,1
pinelog,log,1
pinetrunk,log,1
pinewood,log,1
darktree,log,1
darklog,log,1
darktrunk,log,1
darkwood,log,1
spruce,log,1
sprucetree,log,1
sprucelog,log,1
sprucetrunk,log,1
sprucewood,log,1
dtree,log,1
dlog,log,1
dtrunk,log,1
dwood,log,1
stree,log,1
slog,log,1
strunk,log,1
swood,log,1
ptree,log,1
plog,log,1
ptrunk,log,1
pwood,log,1
birch,log,2
birchtree,log,2
birchlog,log,2
birchtrunk,log,2
birchwood,log,2
whitetree,log,2
whitelog,log,2
whitetrunk,log,2
whitewood,log,2
lighttree,log,2
lightlog,log,2
lighttrunk,log,2
lightwood,log,2
btree,log,2
blog,log,2
btrunk,log,2
bwood,log,2
wtree,log,2
wlog,log,2
wtrunk,log,2
wwood,log,2
ltree,log,2
llog,log,2
ltrunk,log,2
lwood,log,2
jungletree,log,3
junglelog,log,3
jungletrunk,log,3
junglewood,log,3
jungle,log,3
forest,log,3
foresttree,log,3
forestlog,log,3
foresttrunk,log,3
forestwood,log,3
jtree,log,3
jlog,log,3
jtrunk,log,3
jwood,log,3
ftree,log,3
flog,log,3
ftrunk,log,3
fwood,log,3
leaves,leaves,0
leaf,leaves,0
treeleaves,leaves,0
logleaves,leaves,0
trunkleaves,leaves,0
woodleaves,leaves,0
oakleaves,leaves,0
oakleaf,leaves,0
oleaves,leaves,0
oleaf,leaves,0
oaktreeleaves,leaves,0
oaklogleaves,leaves,0
oaktrunkleaves,leaves,0
oakwoodleaves,leaves,0
otreeleaves,leaves,0
ologleaves,leaves,0
otrunkleaves,leaves,0
owoodleaves,leaves,0
treeleaf,leaves,0
logleaf,leaves,0
trunkleaf,leaves,0
woodleaf,leaves,0
oaktreeleaf,leaves,0
oaklogleaf,leaves,0
oaktrunkleaf,leaves,0
oakwoodleaf,leaves,0
otreeleaf,leaves,0
ologleaf,leaves,0
otrunkleaf,leaves,0
owoodleaf,leaves,0
pineleaves,leaves,1
pineleaf,leaves,1
pleaves,leaves,1
pleaf,leaves,1
pinetreeleaves,leaves,1
pinelogleaves,leaves,1
pinetrunkleaves,leaves,1
pinewoodleaves,leaves,1
ptreeleaves,leaves,1
plogleaves,leaves,1
ptrunkleaves,leaves,1
pwoodleaves,leaves,1
spruceleaves,leaves,1
spruceleaf,leaves,1
sleaves,leaves,1
sleaf,leaves,1
sprucetreeleaves,leaves,1
sprucelogleaves,leaves,1
sprucetrunkleaves,leaves,1
